time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-09-25 13:00,#DIV/0!,53,25,0,300,200,150,100,50
2023-09-25 14:00,#DIV/0!,52,30,0,300,200,150,100,50
2023-09-25 15:00,#DIV/0!,38,31,0,300,200,150,100,50
2023-09-25 16:00,#DIV/0!,28,39,0,300,200,150,100,50
2023-09-25 17:00,#DIV/0!,35,30,0,300,200,150,100,50
2023-09-25 18:00,#DIV/0!,49,27,0,300,200,150,100,50
2023-09-25 19:00,#DIV/0!,46,28,0,300,200,150,100,50
2023-09-25 20:00,#DIV/0!,47,31,0,300,200,150,100,50
2023-09-25 21:00,#DIV/0!,36,27,0,300,200,150,100,50
2023-09-25 22:00,#DIV/0!,29,25,0,300,200,150,100,50
2023-09-25 23:00,#DIV/0!,22,27,0,300,200,150,100,50
2023-09-26 00:00,#DIV/0!,23,30,0,300,200,150,100,50
2023-09-26 01:00,#DIV/0!,21,30,0,300,200,150,100,50
2023-09-26 02:00,#DIV/0!,21,30,0,300,200,150,100,50
2023-09-26 03:00,#DIV/0!,22,31,0,300,200,150,100,50
2023-09-26 04:00,#DIV/0!,24,34,0,300,200,150,100,50
2023-09-26 05:00,#DIV/0!,22,34,0,300,200,150,100,50
2023-09-26 06:00,#DIV/0!,21,28,0,300,200,150,100,50
2023-09-26 07:00,#DIV/0!,25,24,0,300,200,150,100,50
2023-09-26 08:00,#DIV/0!,38,25,0,300,200,150,100,50
2023-09-26 09:00,#DIV/0!,47,28,0,300,200,150,100,50
2023-09-26 10:00,#DIV/0!,34,30,0,300,200,150,100,50
2023-09-26 11:00,#DIV/0!,43,25,0,300,200,150,100,50
2023-09-26 12:00,#DIV/0!,60,27,0,300,200,150,100,50
2023-09-26 13:00,#DIV/0!,71,32,0,300,200,150,100,50
2023-09-26 14:00,94,57,33,0,300,200,150,100,50
2023-09-26 15:00,97,32,38,0,300,200,150,100,50
2023-09-26 16:00,#DIV/0!,26,29,0,300,200,150,100,50
2023-09-26 17:00,#DIV/0!,32,26,0,300,200,150,100,50
2023-09-26 18:00,#DIV/0!,57,25,0,300,200,150,100,50
2023-09-26 19:00,#DIV/0!,66,26,0,300,200,150,100,50
2023-09-26 20:00,76,94,26,0,300,200,150,100,50
2023-09-26 21:00,77,59,22,0,300,200,150,100,50
2023-09-26 22:00,79,22,20,0,300,200,150,100,50
2023-09-26 23:00,77,15,20,0,300,200,150,100,50
2023-09-27 00:00,72,12,20,0,300,200,150,100,50
2023-09-27 01:00,80,12,19,0,300,200,150,100,50
2023-09-27 02:00,70,11,18,0,300,200,150,100,50
2023-09-27 03:00,68,10,16,0,300,200,150,100,50
2023-09-27 04:00,65,7,15,0,300,200,150,100,50
2023-09-27 05:00,65,7,14,0,300,200,150,100,50
2023-09-27 06:00,65,7,10,0,300,200,150,100,50
2023-09-27 07:00,76,10,8,0,300,200,150,100,50
2023-09-27 08:00,88,14,10,0,300,200,150,100,50
2023-09-27 09:00,106,20,14,0,300,200,150,100,50
2023-09-27 10:00,132,16,14,0,300,200,150,100,50
2023-09-27 11:00,129,32,17,0,300,200,150,100,50
2023-09-27 12:00,92,45,13,0,300,200,150,100,50
2023-09-27 13:00,75,36,14,0,300,200,150,100,50
2023-09-27 14:00,72,37,17,0,300,200,150,100,50
2023-09-27 15:00,94,15,18,0,300,200,150,100,50
2023-09-27 16:00,100,12,15,0,300,200,150,100,50
2023-09-27 17:00,123,28,15,0,300,200,150,100,50
2023-09-27 18:00,114,56,16,0,300,200,150,100,50
2023-09-27 19:00,103,69,14,0,300,200,150,100,50
2023-09-27 20:00,110,77,17,0,300,200,150,100,50
2023-09-27 21:00,107,73,16,0,300,200,150,100,50
2023-09-27 22:00,94,19,13,0,300,200,150,100,50
2023-09-27 23:00,86,14,13,0,300,200,150,100,50
2023-09-28 00:00,80,12,12,0,300,200,150,100,50
2023-09-28 01:00,84,11,14,0,300,200,150,100,50
2023-09-28 02:00,80,11,15,0,300,200,150,100,50
2023-09-28 03:00,85,12,15,0,300,200,150,100,50
2023-09-28 04:00,99,11,15,0,300,200,150,100,50
2023-09-28 05:00,90,12,16,0,300,200,150,100,50
2023-09-28 06:00,79,9,13,0,300,200,150,100,50
2023-09-28 07:00,77,9,8,0,300,200,150,100,50
2023-09-28 08:00,99,23,7,0,300,200,150,100,50
2023-09-28 09:00,114,17,9,0,300,200,150,100,50
2023-09-28 10:00,105,16,37,0,300,200,150,100,50
2023-09-28 11:00,129,19,20,0,300,200,150,100,50
2023-09-28 12:00,80,38,14,0,300,200,150,100,50
2023-09-28 13:00,71,32,15,0,300,200,150,100,50
2023-09-28 14:00,95,27,19,0,300,200,150,100,50
2023-09-28 15:00,126,22,19,0,300,200,150,100,50
2023-09-28 16:00,121,16,16,0,300,200,150,100,50
2023-09-28 17:00,118,24,17,0,300,200,150,100,50
2023-09-28 18:00,101,28,20,0,300,200,150,100,50
2023-09-28 19:00,94,36,22,0,300,200,150,100,50
2023-09-28 20:00,105,42,24,0,300,200,150,100,50
2023-09-28 21:00,126,43,27,0,300,200,150,100,50
2023-09-28 22:00,127,30,34,0,300,200,150,100,50
2023-09-28 23:00,133,30,39,0,300,200,150,100,50
2023-09-29 00:00,149,37,50,0,300,200,150,100,50
2023-09-29 01:00,126,43,55,0,300,200,150,100,50
2023-09-29 02:00,120,42,55,0,300,200,150,100,50
2023-09-29 03:00,128,44,53,0,300,200,150,100,50
2023-09-29 04:00,133,43,52,0,300,200,150,100,50
2023-09-29 05:00,121,29,47,0,300,200,150,100,50
2023-09-29 06:00,153,24,35,0,300,200,150,100,50
2023-09-29 07:00,154,24,28,0,300,200,150,100,50
2023-09-29 08:00,151,25,26,0,300,200,150,100,50
2023-09-29 09:00,152,31,27,0,300,200,150,100,50
2023-09-29 10:00,154,47,34,0,300,200,150,100,50
2023-09-29 11:00,152,52,41,0,300,200,150,100,50
2023-09-29 12:00,123,71,46,0,300,200,150,100,50
2023-09-29 13:00,123,72,49,0,300,200,150,100,50
2023-09-29 14:00,148,79,51,0,300,200,150,100,50
2023-09-29 15:00,156,72,54,0,300,200,150,100,50
2023-09-29 16:00,157,61,57,0,300,200,150,100,50
2023-09-29 17:00,158,63,61,0,300,200,150,100,50
2023-09-29 18:00,157,79,64,0,300,200,150,100,50
2023-09-29 19:00,157,81,64,0,300,200,150,100,50
2023-09-29 20:00,158,91,65,0,300,200,150,100,50
2023-09-29 21:00,156,83,66,0,300,200,150,100,50
2023-09-29 22:00,157,61,66,0,300,200,150,100,50
